Iteration,Time,Size
1,2.68e-06,110
2,8.515e-06,260
3,2.3472e-05,460
4,5.1628e-05,710
5,0.000120641,1010
6,0.000277194,1360
7,0.00029811,1760
8,0.000460981,2210
9,0.000685897,2710
10,0.000989647,3260
11,0.0013883,3860
12,0.00189739,4510
13,0.00249937,5210
14,0.0033898,5960
15,0.00417628,6760
16,0.00651737,7610
17,0.00806403,8510
18,0.00934327,9460
19,0.0125031,10460
20,0.0168177,11510
21,0.0149783,12610
22,0.0223217,13760
23,0.0239623,14960
24,0.0270245,16210
25,0.0309644,17510
26,0.037584,18860
27,0.0396158,20260
28,0.0498767,21710
29,0.0558316,23210
30,0.0640046,24760
31,0.0721149,26360
32,0.0810171,28010
33,0.0963441,29710
34,0.102137,31460
35,0.108065,33260
36,0.119346,35110
37,0.137012,37010
38,0.150384,38960
39,0.163833,40960
40,0.17872,43010
41,0.187513,45110
42,0.207182,47260
43,0.221202,49460
44,0.24078,51710
45,0.263085,54010
46,0.281381,56360
47,0.340275,58760
48,0.426459,61210
49,0.451207,63710
50,0.438667,66260
51,0.530386,68860
52,0.546689,71510
53,0.513511,74210
54,0.526998,76960
55,0.551269,79760
56,0.594253,82610
57,0.65282,85510
58,0.693692,88460
59,0.751806,91460
60,0.822344,94510
61,0.856794,97610
62,0.918117,100760
63,0.976136,103960
64,1.33206,107210
65,1.41249,110510
66,1.30912,113860
67,1.40875,117260
68,1.39597,120710
69,1.35173,124210
70,1.47777,127760
71,1.53642,131360
72,1.64956,135010
73,1.69753,138710
74,1.78923,142460
75,1.95159,146260
76,1.99903,150110
77,2.08857,154010
78,2.19032,157960
79,2.31585,161960
80,2.42219,166010
81,2.5598,170110
82,2.70793,174260
83,2.8715,178460
84,2.98934,182710
85,3.14728,187010
86,3.26902,191360
87,3.4825,195760
88,3.56278,200210
89,3.72296,204710
90,3.95382,209260
91,4.08128,213860
92,4.30099,218510
93,4.61507,223210
94,4.68144,227960
95,4.86529,232760
96,5.09052,237610
97,5.28695,242510
98,5.53664,247460
99,5.75854,252460
100,5.93501,257510
