Iteration,Time,Size
1,2.812e-06,110
2,9.58e-06,260
3,2.4372e-05,460
4,6.1256e-05,710
5,9.2199e-05,1010
6,0.000163992,1360
7,0.000266068,1760
8,0.000424029,2210
9,0.00068784,2710
10,0.000989473,3260
11,0.00142444,3860
12,0.00186838,4510
13,0.00250595,5210
14,0.00348198,5960
15,0.00411628,6760
16,0.00525956,7610
17,0.00662542,8510
18,0.00771652,9460
19,0.0100261,10460
20,0.0121032,11510
21,0.013686,12610
22,0.0161298,13760
23,0.0189292,14960
24,0.0226304,16210
25,0.0309766,17510
26,0.0378222,18860
27,0.0409745,20260
28,0.045265,21710
29,0.0494005,23210
30,0.0513931,24760
31,0.0588348,26360
32,0.0658393,28010
33,0.0778412,29710
34,0.0902363,31460
35,0.0930036,33260
36,0.105066,35110
37,0.114803,37010
38,0.135019,38960
39,0.146253,40960
40,0.155872,43010
41,0.176678,45110
42,0.191157,47260
43,0.216059,49460
44,0.224285,51710
45,0.245649,54010
46,0.279585,56360
47,0.293317,58760
48,0.317664,61210
49,0.341259,63710
50,0.367894,66260
51,0.405832,68860
52,0.463136,71510
53,0.478518,74210
54,0.504606,76960
55,0.551238,79760
56,0.585873,82610
57,0.638076,85510
58,0.67742,88460
59,0.713483,91460
60,0.777404,94510
61,0.831282,97610
62,0.8654,100760
63,0.93475,103960
64,0.990267,107210
65,1.06324,110510
66,1.14313,113860
67,1.18613,117260
68,1.26333,120710
69,1.3506,124210
70,1.44059,127760
71,1.51257,131360
72,1.60688,135010
73,1.69503,138710
74,1.78797,142460
75,1.88575,146260
76,2.00195,150110
77,2.09155,154010
78,2.24809,157960
79,2.33813,161960
80,2.45291,166010
81,2.60054,170110
82,2.69704,174260
83,2.88218,178460
84,3.04094,182710
85,3.14055,187010
86,3.3417,191360
87,3.50441,195760
88,3.73949,200210
89,3.76269,204710
90,3.97872,209260
91,4.13453,213860
92,4.37807,218510
93,4.46093,223210
94,4.69293,227960
95,4.94479,232760
96,5.10527,237610
97,5.31841,242510
98,5.5278,247460
99,5.89828,252460
100,6.09179,257510
