Iteration,Time,Size
1,5.972e-06,110
2,1.4212e-05,260
3,2.6439e-05,460
4,4.2668e-05,710
5,6.1816e-05,1010
6,8.6782e-05,1360
7,0.000115302,1760
8,0.000148385,2210
9,0.000184238,2710
10,0.000227706,3260
11,0.000276344,3860
12,0.00032751,4510
13,0.000426813,5210
14,0.00044475,5960
15,0.000552529,6760
16,0.000583061,7610
17,0.000657834,8510
18,0.000741488,9460
19,0.00086791,10460
20,0.000931294,11510
21,0.00121986,12610
22,0.00116881,13760
23,0.00128836,14960
24,0.00141689,16210
25,0.00155613,17510
26,0.00189012,18860
27,0.00185206,20260
28,0.00209061,21710
29,0.00212292,23210
30,0.00228265,24760
31,0.00247199,26360
32,0.00238435,28010
33,0.00257554,29710
34,0.00283213,31460
35,0.00302753,33260
36,0.00329504,35110
37,0.00445557,37010
38,0.003958,38960
39,0.00420177,40960
40,0.00444775,43010
41,0.00455742,45110
42,0.00434464,47260
43,0.00460345,49460
44,0.00472014,51710
45,0.00515525,54010
46,0.00596996,56360
47,0.00623112,58760
48,0.00575756,61210
49,0.00603779,63710
50,0.00607904,66260
51,0.00666772,68860
52,0.00662596,71510
53,0.00677192,74210
54,0.00686738,76960
55,0.00709557,79760
56,0.00729315,82610
57,0.00809104,85510
58,0.00821488,88460
59,0.00831183,91460
60,0.00862963,94510
61,0.00880054,97610
62,0.00961943,100760
63,0.00943197,103960
64,0.00982701,107210
65,0.0113508,110510
66,0.0129072,113860
67,0.0115599,117260
68,0.0116811,120710
69,0.011858,124210
70,0.0117374,127760
71,0.0120706,131360
72,0.0124764,135010
73,0.012942,138710
74,0.0131503,142460
75,0.0141549,146260
76,0.0141501,150110
77,0.0157769,154010
78,0.0156493,157960
79,0.0160448,161960
80,0.0162797,166010
81,0.0158412,170110
82,0.0165138,174260
83,0.0176782,178460
84,0.0180826,182710
85,0.0176032,187010
86,0.0179714,191360
87,0.0187353,195760
88,0.020385,200210
89,0.0214604,204710
90,0.0213377,209260
91,0.021203,213860
92,0.020783,218510
93,0.0210972,223210
94,0.0217157,227960
95,0.0220372,232760
96,0.022624,237610
97,0.0233142,242510
98,0.0234959,247460
99,0.0239835,252460
100,0.0248133,257510
