Iteration,Time,Size
1,3.993e-06,110
2,2.0101e-05,260
3,8.7849e-05,460
4,0.000103801,710
5,0.000190481,1010
6,0.000432529,1360
7,0.000848465,1760
8,0.00125095,2210
9,0.00153459,2710
10,0.00292358,3260
11,0.00335607,3860
12,0.00374966,4510
13,0.00416063,5210
14,0.00545662,5960
15,0.00698675,6760
16,0.00940166,7610
17,0.0141646,8510
18,0.0147181,9460
19,0.0220281,10460
20,0.0221163,11510
21,0.0263892,12610
22,0.0355682,13760
23,0.0399413,14960
24,0.0431559,16210
25,0.0563286,17510
26,0.059853,18860
27,0.0700172,20260
28,0.0834845,21710
29,0.0934289,23210
30,0.119438,24760
31,0.136521,26360
32,0.132031,28010
33,0.147522,29710
34,0.166953,31460
35,0.190985,33260
36,0.19944,35110
37,0.240043,37010
38,0.25244,38960
39,0.28087,40960
40,0.30702,43010
41,0.357819,45110
42,0.373198,47260
43,0.408807,49460
44,0.443838,51710
45,0.487507,54010
46,0.512596,56360
47,0.568249,58760
48,0.622161,61210
49,0.678963,63710
50,0.718374,66260
51,0.773068,68860
52,0.83321,71510
53,0.891612,74210
54,0.961867,76960
55,1.03482,79760
56,1.10333,82610
57,1.184,85510
58,1.25353,88460
59,1.3543,91460
60,1.56108,94510
61,1.78487,97610
62,2.37787,100760
63,1.91982,103960
64,1.99447,107210
65,1.99636,110510
66,2.16194,113860
67,2.24134,117260
68,2.3688,120710
69,3.09801,124210
70,2.68191,127760
