Iteration,Time,Size
1,2.593e-06,110
2,8.984e-06,260
3,4.1335e-05,460
4,8.2382e-05,710
5,0.000183554,1010
6,0.000249502,1360
7,0.00032199,1760
8,0.000494647,2210
9,0.000695527,2710
10,0.00106369,3260
11,0.00140353,3860
12,0.00192855,4510
13,0.00248888,5210
14,0.00339607,5960
15,0.00415933,6760
16,0.00513062,7610
17,0.00641974,8510
18,0.00798573,9460
19,0.00922668,10460
20,0.01124,11510
21,0.0136361,12610
22,0.0164304,13760
23,0.0197796,14960
24,0.0249775,16210
25,0.0293418,17510
26,0.0304683,18860
27,0.0347193,20260
28,0.0406978,21710
29,0.0475698,23210
30,0.0527853,24760
31,0.0584538,26360
32,0.0676399,28010
33,0.0866333,29710
34,0.0863104,31460
35,0.0951658,33260
36,0.110382,35110
37,0.116371,37010
38,0.133604,38960
39,0.143189,40960
40,0.155502,43010
41,0.172851,45110
42,0.1908,47260
43,0.210547,49460
44,0.232682,51710
45,0.263211,54010
46,0.287287,56360
47,0.330477,58760
48,0.344644,61210
49,0.356252,63710
50,0.381265,66260
51,0.405217,68860
52,0.436653,71510
53,0.523614,74210
54,0.560752,76960
55,0.595173,79760
56,0.619331,82610
57,0.677536,85510
58,0.676163,88460
59,0.745212,91460
60,0.765688,94510
61,0.859462,97610
62,0.870417,100760
63,0.940525,103960
64,1.01725,107210
65,1.06114,110510
66,1.13921,113860
67,1.20464,117260
68,1.26666,120710
69,1.33514,124210
70,1.40939,127760
71,1.63568,131360
72,1.77051,135010
73,1.68312,138710
74,1.82654,142460
75,1.87228,146260
76,2.00252,150110
77,2.11674,154010
78,2.25948,157960
79,2.32644,161960
80,2.49069,166010
81,2.57526,170110
82,2.71161,174260
83,2.89224,178460
84,3.01217,182710
85,3.1578,187010
86,3.27477,191360
87,3.4382,195760
88,3.60488,200210
89,3.81575,204710
90,3.96619,209260
91,4.1175,213860
92,4.35264,218510
93,4.52683,223210
94,4.74643,227960
95,5.04802,232760
96,5.13875,237610
97,5.36612,242510
98,5.59993,247460
99,5.84874,252460
100,6.08975,257510
