Iteration,Time,Size
1,5.5e-06,110
2,1.3129e-05,260
3,2.4182e-05,460
4,3.865e-05,710
5,5.7896e-05,1010
6,7.9741e-05,1360
7,0.000105979,1760
8,0.000136218,2210
9,0.000170063,2710
10,0.000209294,3260
11,0.000253229,3860
12,0.000300527,4510
13,0.000425078,5210
14,0.000432315,5960
15,0.000468342,6760
16,0.000681379,7610
17,0.000622342,8510
18,0.000710835,9460
19,0.00078921,10460
20,0.000928295,11510
21,0.00102314,12610
22,0.00145083,13760
23,0.00127943,14960
24,0.00132467,16210
25,0.00145375,17510
26,0.00198458,18860
27,0.00214397,20260
28,0.00220486,21710
29,0.0021674,23210
30,0.00254782,24760
31,0.00232099,26360
32,0.00245103,28010
33,0.00261456,29710
34,0.0028285,31460
35,0.00295123,33260
36,0.00313822,35110
37,0.00360391,37010
38,0.00343035,38960
39,0.00363956,40960
40,0.0036948,43010
41,0.00399498,45110
42,0.00445686,47260
43,0.00498396,49460
44,0.00489964,51710
45,0.00504481,54010
46,0.00528822,56360
47,0.00548566,58760
48,0.00557305,61210
49,0.00582245,63710
50,0.00587306,66260
51,0.00602316,68860
52,0.00629687,71510
53,0.00671843,74210
54,0.00713641,76960
55,0.00716245,79760
56,0.00796467,82610
57,0.00794796,85510
58,0.00797388,88460
59,0.00815808,91460
60,0.00854201,94510
61,0.00876188,97610
62,0.00904797,100760
63,0.00960787,103960
64,0.00960998,107210
65,0.00996023,110510
66,0.0103508,113860
67,0.0106084,117260
68,0.0109038,120710
69,0.0123843,124210
70,0.0122712,127760
71,0.0133416,131360
72,0.0130078,135010
73,0.0128987,138710
74,0.0130892,142460
75,0.013445,146260
76,0.0137548,150110
77,0.0142837,154010
78,0.0149617,157960
79,0.0151378,161960
80,0.0154266,166010
81,0.0158939,170110
82,0.0164152,174260
83,0.0167121,178460
84,0.0181011,182710
85,0.0174519,187010
86,0.0179087,191360
87,0.0182365,195760
88,0.018943,200210
89,0.0216386,204710
90,0.0209042,209260
91,0.0200493,213860
92,0.0204776,218510
93,0.0209545,223210
94,0.0214112,227960
95,0.0218924,232760
96,0.0223744,237610
97,0.0228784,242510
98,0.0232699,247460
99,0.0237956,252460
100,0.0256767,257510
