Iteration,Time,Size
1,6.005e-06,110
2,1.4202e-05,260
3,3.9645e-05,460
4,7.3138e-05,710
5,7.4416e-05,1010
6,0.000129674,1360
7,0.000169135,1760
8,0.000200222,2210
9,0.000228622,2710
10,0.000261189,3260
11,0.000282075,3860
12,0.000330159,4510
13,0.000415845,5210
14,0.000443149,5960
15,0.000505067,6760
16,0.000576689,7610
17,0.000636414,8510
18,0.000730943,9460
19,0.000848319,10460
20,0.000925166,11510
21,0.00110785,12610
22,0.00110182,13760
23,0.00120569,14960
24,0.00136254,16210
25,0.00150281,17510
26,0.00158887,18860
27,0.00175572,20260
28,0.00251304,21710
29,0.00231879,23210
30,0.00235499,24760
31,0.00264,26360
32,0.00291811,28010
33,0.00265868,29710
34,0.00286377,31460
35,0.00298711,33260
36,0.00319369,35110
37,0.00341278,37010
38,0.00369058,38960
39,0.00379296,40960
40,0.00440537,43010
41,0.00505096,45110
42,0.00565602,47260
43,0.00530088,49460
44,0.00595696,51710
45,0.0056721,54010
46,0.00545535,56360
47,0.00556265,58760
48,0.00575465,61210
49,0.00630332,63710
50,0.00689765,66260
51,0.0119313,68860
52,0.0075506,71510
53,0.00845599,74210
54,0.00869831,76960
55,0.00843981,79760
56,0.00812991,82610
57,0.00815768,85510
58,0.00835536,88460
59,0.0113354,91460
60,0.0119129,94510
61,0.0109793,97610
62,0.0113435,100760
63,0.0106667,103960
64,0.010703,107210
65,0.0105356,110510
66,0.0181193,113860
67,0.013841,117260
68,0.0141393,120710
69,0.0125987,124210
70,0.0124843,127760
71,0.015576,131360
72,0.0186111,135010
73,0.015764,138710
74,0.0149203,142460
75,0.0148166,146260
76,0.0212424,150110
77,0.0180019,154010
78,0.0180609,157960
79,0.0164711,161960
80,0.0200578,166010
81,0.022987,170110
82,0.0196932,174260
83,0.0183909,178460
84,0.0215653,182710
85,0.0227628,187010
86,0.0201055,191360
87,0.0234035,195760
88,0.0239209,200210
89,0.022289,204710
90,0.021777,209260
91,0.028877,213860
92,0.0242668,218510
93,0.0228437,223210
94,0.0331067,227960
95,0.025398,232760
96,0.0311701,237610
97,0.0292686,242510
98,0.0265552,247460
99,0.0315291,252460
100,0.0295338,257510
