Iteration,Time,Size
1,2.356e-06,110
2,8.01e-06,260
3,2.2144e-05,460
4,4.8598e-05,710
5,9.5449e-05,1010
6,0.000168206,1360
7,0.000275621,1760
8,0.000427592,2210
9,0.000633871,2710
10,0.000911468,3260
11,0.00126403,3860
12,0.00175619,4510
13,0.00227713,5210
14,0.00321819,5960
15,0.00393386,6760
16,0.00510266,7610
17,0.00663761,8510
18,0.00777642,9460
19,0.0093638,10460
20,0.0113054,11510
21,0.0136856,12610
22,0.0164759,13760
23,0.0194236,14960
24,0.0235563,16210
25,0.0262082,17510
26,0.0300504,18860
27,0.035437,20260
28,0.0397074,21710
29,0.0479842,23210
30,0.0532478,24760
31,0.0592577,26360
32,0.0657352,28010
33,0.07848,29710
34,0.0834174,31460
35,0.0937859,33260
36,0.108558,35110
37,0.11971,37010
38,0.127793,38960
39,0.143523,40960
40,0.160323,43010
41,0.171391,45110
42,0.189274,47260
43,0.208617,49460
44,0.22783,51710
45,0.249919,54010
46,0.284753,56360
47,0.316796,58760
48,0.320498,61210
49,0.342469,63710
50,0.373151,66260
51,0.41276,68860
52,0.446232,71510
53,0.47107,74210
54,0.50766,76960
55,0.547035,79760
56,0.581648,82610
57,0.63676,85510
58,0.672952,88460
59,0.748527,91460
60,0.795291,94510
61,0.855522,97610
62,0.925856,100760
63,0.94137,103960
64,1.0194,107210
65,1.0721,110510
66,1.14053,113860
67,1.21957,117260
68,1.28037,120710
69,1.37997,124210
70,1.45387,127760
71,1.51174,131360
72,1.6155,135010
73,1.69369,138710
74,1.79798,142460
75,1.91151,146260
76,2.03139,150110
77,2.11604,154010
78,2.21227,157960
79,2.35362,161960
80,2.4846,166010
81,2.6436,170110
82,2.74855,174260
83,2.85333,178460
84,3.04462,182710
85,3.14849,187010
86,3.34768,191360
87,3.48071,195760
88,3.59627,200210
89,3.83247,204710
90,3.96369,209260
91,4.16007,213860
92,4.32986,218510
93,4.62242,223210
94,4.76732,227960
95,4.92721,232760
96,5.18887,237610
97,5.38126,242510
98,5.58053,247460
99,5.78587,252460
100,6.08452,257510
