Iteration,Time,Size
1,6.063e-06,110
2,3.3026e-05,260
3,3.9131e-05,460
4,6.058e-05,710
5,9.3508e-05,1010
6,0.000129173,1360
7,0.000156814,1760
8,0.000187089,2210
9,0.000220033,2710
10,0.000259458,3260
11,0.000303976,3860
12,0.000370762,4510
13,0.000400037,5210
14,0.000458241,5960
15,0.000517102,6760
16,0.000565811,7610
17,0.000622985,8510
18,0.000709177,9460
19,0.000792612,10460
20,0.000929753,11510
21,0.00131454,12610
22,0.00110298,13760
23,0.0012168,14960
24,0.00155054,16210
25,0.00201837,17510
26,0.00174581,18860
27,0.00200074,20260
28,0.00219169,21710
29,0.00199999,23210
30,0.00231654,24760
31,0.00238901,26360
32,0.00271573,28010
33,0.00281311,29710
34,0.00307296,31460
35,0.00335654,33260
36,0.00374669,35110
37,0.00430178,37010
38,0.00429098,38960
39,0.00405533,40960
40,0.00460563,43010
41,0.0048264,45110
42,0.00524249,47260
43,0.00541469,49460
44,0.00558685,51710
45,0.00544149,54010
46,0.00544042,56360
47,0.00582553,58760
48,0.00580115,61210
49,0.00606852,63710
50,0.00671088,66260
51,0.0104908,68860
52,0.00763538,71510
53,0.00835066,74210
54,0.00877547,76960
55,0.00859502,79760
56,0.00820897,82610
57,0.00832631,85510
58,0.00869075,88460
59,0.0123597,91460
60,0.010447,94510
61,0.0112679,97610
62,0.0116475,100760
63,0.0104649,103960
64,0.0105257,107210
65,0.0104564,110510
66,0.0185354,113860
67,0.0150907,117260
68,0.0136995,120710
69,0.0126155,124210
70,0.0138463,127760
71,0.0213283,131360
72,0.0160961,135010
73,0.0156331,138710
74,0.014547,142460
75,0.0141391,146260
76,0.0242663,150110
77,0.0185354,154010
78,0.0164466,157960
79,0.0168659,161960
80,0.0263234,166010
81,0.0215153,170110
82,0.0180361,174260
83,0.0191947,178460
84,0.02816,182710
85,0.0215927,187010
86,0.0192725,191360
87,0.0292002,195760
88,0.0237595,200210
89,0.0211434,204710
90,0.0307322,209260
91,0.0254254,213860
92,0.0228859,218510
93,0.0333006,223210
94,0.0275409,227960
95,0.0236259,232760
96,0.0368961,237610
97,0.0272121,242510
98,0.0306309,247460
99,0.0310489,252460
100,0.0273505,257510
