Iteration,Time,Size
1,5.899e-06,110
2,3.2935e-05,260
3,3.9358e-05,460
4,7.3476e-05,710
5,9.3427e-05,1010
6,0.000166002,1360
7,0.000205047,1760
8,0.000187929,2210
9,0.000235226,2710
10,0.000272407,3260
11,0.000316928,3860
12,0.000416118,4510
13,0.000395758,5210
14,0.000454129,5960
15,0.000512536,6760
16,0.0005668,7610
17,0.000623267,8510
18,0.0007787,9460
19,0.000844989,10460
20,0.00119366,11510
21,0.00100632,12610
22,0.00112046,13760
23,0.00120928,14960
24,0.00147256,16210
25,0.00214131,17510
26,0.00187454,18860
27,0.0021172,20260
28,0.00212267,21710
29,0.00223118,23210
30,0.00226563,24760
31,0.00229424,26360
32,0.00244992,28010
33,0.00261649,29710
34,0.0027675,31460
35,0.00298187,33260
36,0.00326807,35110
37,0.00363244,37010
38,0.00376851,38960
39,0.00414807,40960
40,0.00412374,43010
41,0.0043263,45110
42,0.00519555,47260
43,0.00484397,49460
44,0.00467194,51710
45,0.00495962,54010
46,0.00563628,56360
47,0.00616809,58760
48,0.00646192,61210
49,0.00675382,63710
50,0.00659181,66260
51,0.00667194,68860
52,0.00679979,71510
53,0.00699456,74210
54,0.00697316,76960
55,0.00709741,79760
56,0.00729493,82610
57,0.00763062,85510
58,0.00797275,88460
59,0.00836458,91460
60,0.00856134,94510
61,0.00873704,97610
62,0.00996363,100760
63,0.0105868,103960
64,0.0103708,107210
65,0.0108301,110510
66,0.0114351,113860
67,0.0116844,117260
68,0.0114419,120710
69,0.011448,124210
70,0.011716,127760
71,0.0128929,131360
72,0.0132003,135010
73,0.0128906,138710
74,0.0133113,142460
75,0.0135043,146260
76,0.0141034,150110
77,0.0151474,154010
78,0.0153964,157960
79,0.0151342,161960
80,0.018002,166010
81,0.0168595,170110
82,0.016658,174260
83,0.0177268,178460
84,0.0173394,182710
85,0.0175127,187010
86,0.0179572,191360
87,0.018433,195760
88,0.0190829,200210
89,0.0192683,204710
90,0.0217412,209260
91,0.0226097,213860
92,0.0221826,218510
93,0.0223281,223210
94,0.0222725,227960
95,0.0228353,232760
96,0.0226134,237610
97,0.0237503,242510
98,0.0248747,247460
99,0.0243714,252460
100,0.0244983,257510
