Iteration,Time,Size
1,2.3226e-05,110
2,3.0085e-05,260
3,5.6265e-05,460
4,0.000103993,710
5,0.000173024,1010
6,0.000229869,1360
7,0.000329243,1760
8,0.000483087,2210
9,0.000702152,2710
10,0.000997152,3260
11,0.00136403,3860
12,0.00188238,4510
13,0.00248671,5210
14,0.00406645,5960
15,0.00494899,6760
16,0.0064595,7610
17,0.00779267,8510
18,0.00973505,9460
19,0.0117322,10460
20,0.0126266,11510
21,0.0148074,12610
22,0.0189763,13760
23,0.0247296,14960
24,0.024973,16210
25,0.0326255,17510
26,0.0366858,18860
27,0.0435358,20260
28,0.0479474,21710
29,0.0566455,23210
30,0.0616208,24760
31,0.0755804,26360
32,0.0856004,28010
33,0.0906387,29710
34,0.0990592,31460
35,0.110667,33260
36,0.125134,35110
37,0.133549,37010
38,0.143767,38960
39,0.155652,40960
40,0.179899,43010
41,0.19197,45110
42,0.209709,47260
43,0.226327,49460
44,0.255977,51710
45,0.268283,54010
46,0.295186,56360
47,0.306585,58760
48,0.334432,61210
49,0.359004,63710
50,0.387496,66260
51,0.440008,68860
52,0.452048,71510
53,0.491252,74210
54,0.514916,76960
55,0.568624,79760
56,0.591286,82610
57,0.640923,85510
58,0.694961,88460
59,0.741446,91460
60,0.767469,94510
61,0.822992,97610
62,0.89089,100760
63,0.966966,103960
64,1.00558,107210
65,1.06238,110510
66,1.12084,113860
67,1.21925,117260
68,1.29302,120710
69,1.34192,124210
70,1.4306,127760
71,1.50029,131360
72,1.59344,135010
73,1.72178,138710
74,1.83112,142460
75,1.88512,146260
76,1.9744,150110
77,2.09088,154010
78,2.25778,157960
79,2.30144,161960
80,2.45863,166010
81,2.55803,170110
82,2.71515,174260
83,2.84762,178460
84,3.01516,182710
85,3.13167,187010
86,3.27228,191360
87,3.41769,195760
88,3.61169,200210
89,3.7421,204710
90,3.90146,209260
91,4.5933,213860
92,4.4118,218510
93,4.53141,223210
94,4.73176,227960
95,4.91098,232760
96,5.18925,237610
97,5.36072,242510
98,5.5972,247460
99,5.87958,252460
100,6.0562,257510
