Iteration,Time,Size
1,4.161e-06,110
2,2.1095e-05,260
3,4.4864e-05,460
4,8.3714e-05,710
5,0.000233149,1010
6,0.000478327,1360
7,0.000593748,1760
8,0.00107572,2210
9,0.00134803,2710
10,0.00169978,3260
11,0.00261602,3860
12,0.00389679,4510
13,0.00453145,5210
14,0.00610968,5960
15,0.00776605,6760
16,0.0156147,7610
17,0.0153679,8510
18,0.0222798,9460
19,0.0241903,10460
20,0.0276376,11510
21,0.0294515,12610
22,0.0316528,13760
23,0.0441389,14960
24,0.046918,16210
25,0.0685393,17510
26,0.0738556,18860
27,0.0692951,20260
28,0.0804368,21710
29,0.099171,23210
30,0.109925,24760
31,0.126584,26360
32,0.132057,28010
33,0.145909,29710
34,0.166146,31460
35,0.19207,33260
36,0.205119,35110
37,0.237061,37010
38,0.253811,38960
39,0.281474,40960
40,0.307843,43010
41,0.350552,45110
42,0.374094,47260
43,0.41232,49460
44,0.437429,51710
45,0.500847,54010
46,0.866168,56360
47,0.567523,58760
48,0.639462,61210
49,0.661806,63710
50,0.734164,66260
51,0.778121,68860
52,0.875898,71510
53,0.916255,74210
54,0.976906,76960
55,1.06791,79760
56,1.14442,82610
57,1.19937,85510
58,1.28124,88460
59,1.41115,91460
60,1.48632,94510
61,1.73067,97610
62,2.27675,100760
63,2.44699,103960
64,2.75615,107210
65,2.04954,110510
66,2.24019,113860
67,2.25703,117260
68,2.41956,120710
69,2.54751,124210
70,2.7648,127760
