Iteration,Time,Size
1,5.457e-06,110
2,1.306e-05,260
3,2.4163e-05,460
4,3.8767e-05,710
5,5.7236e-05,1010
6,7.8498e-05,1360
7,0.000105367,1760
8,0.000136516,2210
9,0.000169786,2710
10,0.00020923,3260
11,0.000254292,3860
12,0.000301948,4510
13,0.000404858,5210
14,0.000462305,5960
15,0.000468733,6760
16,0.000535509,7610
17,0.000607009,8510
18,0.00067979,9460
19,0.00182606,10460
20,0.00140105,11510
21,0.00155199,12610
22,0.00149156,13760
23,0.00155605,14960
24,0.00173389,16210
25,0.00163338,17510
26,0.0017728,18860
27,0.00193486,20260
28,0.00206551,21710
29,0.00260931,23210
30,0.00307951,24760
31,0.00272869,26360
32,0.00275291,28010
33,0.0031965,29710
34,0.00289172,31460
35,0.00308016,33260
36,0.00324577,35110
37,0.00338931,37010
38,0.0036558,38960
39,0.00368855,40960
40,0.00409524,43010
41,0.00501478,45110
42,0.00437176,47260
43,0.00459222,49460
44,0.00477027,51710
45,0.00513686,54010
46,0.00510071,56360
47,0.00533931,58760
48,0.0058289,61210
49,0.00610005,63710
50,0.00607829,66260
51,0.00599885,68860
52,0.00632279,71510
53,0.00660325,74210
54,0.00677118,76960
55,0.00720276,79760
56,0.00740077,82610
57,0.00757619,85510
58,0.00795556,88460
59,0.00823777,91460
60,0.00857234,94510
61,0.00885516,97610
62,0.00953104,100760
63,0.010592,103960
64,0.0108109,107210
65,0.0109096,110510
66,0.0111188,113860
67,0.0114327,117260
68,0.0115932,120710
69,0.0113257,124210
70,0.0119114,127760
71,0.0120592,131360
72,0.0124662,135010
73,0.012809,138710
74,0.0130771,142460
75,0.0134915,146260
76,0.0139099,150110
77,0.0143044,154010
78,0.0145873,157960
79,0.015155,161960
80,0.0155816,166010
81,0.0166468,170110
82,0.0162439,174260
83,0.0174145,178460
84,0.0175324,182710
85,0.0174759,187010
86,0.0179584,191360
87,0.0186221,195760
88,0.0187733,200210
89,0.0191672,204710
90,0.0197125,209260
91,0.0204714,213860
92,0.0210065,218510
93,0.0211948,223210
94,0.0216375,227960
95,0.0220592,232760
96,0.0227703,237610
97,0.0231096,242510
98,0.0235676,247460
99,0.024216,252460
100,0.0244608,257510
