Iteration,Time,Size
1,8.488e-06,110
2,1.999e-05,260
3,3.8185e-05,460
4,6.1441e-05,710
5,9.0562e-05,1010
6,0.000125428,1360
7,0.000203957,1760
8,0.00020794,2210
9,0.000253001,2710
10,0.000269289,3260
11,0.000406102,3860
12,0.00037328,4510
13,0.000448014,5210
14,0.000529629,5960
15,0.000560723,6760
16,0.000628976,7610
17,0.000869829,8510
18,0.00113695,9460
19,0.00108615,10460
20,0.00104211,11510
21,0.00131204,12610
22,0.00162855,13760
23,0.00137648,14960
24,0.0017018,16210
25,0.00189463,17510
26,0.00170101,18860
27,0.00255224,20260
28,0.00323977,21710
29,0.00298446,23210
30,0.0039712,24760
31,0.00323267,26360
32,0.0030399,28010
33,0.00406067,29710
34,0.00440277,31460
35,0.00343454,33260
36,0.00375685,35110
37,0.00396704,37010
38,0.00459281,38960
39,0.00427186,40960
40,0.00439983,43010
41,0.00484646,45110
42,0.00530427,47260
43,0.00566044,49460
44,0.00634494,51710
45,0.00629306,54010
46,0.0060453,56360
47,0.00710017,58760
48,0.00795801,61210
49,0.0122036,63710
50,0.00839431,66260
51,0.00919679,68860
52,0.00949068,71510
53,0.00929014,74210
54,0.00923341,76960
55,0.0111957,79760
56,0.00919172,82610
57,0.0122277,85510
58,0.010415,88460
59,0.0152131,91460
60,0.0122821,94510
61,0.0155334,97610
62,0.0126736,100760
63,0.019947,103960
64,0.0133323,107210
65,0.017023,110510
66,0.0122032,113860
67,0.0123569,117260
68,0.028033,120710
69,0.0185243,124210
70,0.0188041,127760
