Iteration,Time,Size
1,2.377e-06,110
2,8.081e-06,260
3,2.1721e-05,460
4,4.9435e-05,710
5,9.6018e-05,1010
6,0.000166701,1360
7,0.000275693,1760
8,0.000423384,2210
9,0.000632196,2710
10,0.00090503,3260
11,0.00127767,3860
12,0.0017678,4510
13,0.0022996,5210
14,0.00325381,5960
15,0.00390437,6760
16,0.00507151,7610
17,0.00648372,8510
18,0.00809098,9460
19,0.0093523,10460
20,0.0111954,11510
21,0.0134512,12610
22,0.0186245,13760
23,0.0215971,14960
24,0.0264026,16210
25,0.0305459,17510
26,0.034955,18860
27,0.0374528,20260
28,0.0398231,21710
29,0.0491357,23210
30,0.0527517,24760
31,0.0645051,26360
32,0.0679579,28010
33,0.0762539,29710
34,0.091814,31460
35,0.0964677,33260
36,0.119681,35110
37,0.116376,37010
38,0.131939,38960
39,0.147814,40960
40,0.158123,43010
41,0.173592,45110
42,0.192656,47260
43,0.211686,49460
44,0.2301,51710
45,0.248284,54010
46,0.275333,56360
47,0.306141,58760
48,0.328095,61210
49,0.343692,63710
50,0.371615,66260
51,0.400899,68860
52,0.437273,71510
53,0.501296,74210
54,0.526952,76960
55,0.55576,79760
56,0.600753,82610
57,0.646409,85510
58,0.677559,88460
59,0.754049,91460
60,0.79434,94510
61,0.838424,97610
62,0.918277,100760
63,0.980047,103960
64,0.996103,107210
65,1.06685,110510
66,1.14483,113860
67,1.19516,117260
68,1.28821,120710
69,1.37413,124210
70,1.45961,127760
71,1.52818,131360
72,1.61367,135010
73,1.69047,138710
74,1.80117,142460
75,1.90489,146260
76,2.03026,150110
77,2.13494,154010
78,2.22271,157960
79,2.36123,161960
80,2.47612,166010
81,2.64824,170110
82,2.74423,174260
83,2.87782,178460
84,3.02458,182710
85,3.12519,187010
86,3.33686,191360
87,3.46957,195760
88,3.58615,200210
89,3.78913,204710
90,4.05948,209260
91,4.47109,213860
92,4.26786,218510
93,5.20497,223210
94,5.46526,227960
95,4.93825,232760
96,5.06553,237610
97,5.2653,242510
98,5.61486,247460
99,5.75539,252460
100,6.33014,257510
