Iteration,Time,Size
1,7.388e-06,110
2,1.7352e-05,260
3,3.2246e-05,460
4,5.2513e-05,710
5,8.1316e-05,1010
6,0.000108934,1360
7,0.000132496,1760
8,0.000180813,2210
9,0.000253247,2710
10,0.000333195,3260
11,0.000445197,3860
12,0.000478456,4510
13,0.000521718,5210
14,0.000665814,5960
15,0.000581676,6760
16,0.000806955,7610
17,0.000795777,8510
18,0.000978286,9460
19,0.00113113,10460
20,0.00105969,11510
21,0.00118069,12610
22,0.00120302,13760
23,0.00131907,14960
24,0.00146493,16210
25,0.00165658,17510
26,0.00196627,18860
27,0.00221921,20260
28,0.00242335,21710
29,0.00221089,23210
30,0.00266939,24760
31,0.00280463,26360
32,0.00320214,28010
33,0.0042853,29710
34,0.00397567,31460
35,0.00449977,33260
36,0.00387147,35110
37,0.00446301,37010
38,0.00460022,38960
39,0.00504086,40960
40,0.00500713,43010
41,0.0055005,45110
42,0.00519446,47260
43,0.00500379,49460
44,0.00520829,51710
45,0.00537281,54010
46,0.00591567,56360
47,0.00654996,58760
48,0.0074712,61210
49,0.00708578,63710
50,0.00849096,66260
51,0.0086164,68860
52,0.00892357,71510
53,0.00920627,74210
54,0.0092946,76960
55,0.00938227,79760
56,0.00914795,82610
57,0.0112073,85510
58,0.0103236,88460
59,0.0105685,91460
60,0.0109877,94510
61,0.0114244,97610
62,0.0123781,100760
63,0.0131241,103960
64,0.0125695,107210
65,0.0147472,110510
66,0.0143603,113860
67,0.0137094,117260
68,0.0158393,120710
69,0.0155915,124210
70,0.0149864,127760
