Iteration,Time,Size
1,2.584e-06,110
2,9.276e-06,260
3,4.2805e-05,460
4,8.5745e-05,710
5,0.000150138,1010
6,0.000253795,1360
7,0.000326246,1760
8,0.00051595,2210
9,0.000690863,2710
10,0.000966998,3260
11,0.00132492,3860
12,0.00187572,4510
13,0.00254219,5210
14,0.00338563,5960
15,0.00412148,6760
16,0.00526828,7610
17,0.00630875,8510
18,0.00765049,9460
19,0.00930554,10460
20,0.0113126,11510
21,0.01357,12610
22,0.0160221,13760
23,0.020467,14960
24,0.0260077,16210
25,0.0328559,17510
26,0.0346534,18860
27,0.0384086,20260
28,0.0399574,21710
29,0.0473996,23210
30,0.0577875,24760
31,0.0604143,26360
32,0.0672101,28010
33,0.0756713,29710
34,0.08434,31460
35,0.0944991,33260
36,0.108254,35110
37,0.118068,37010
38,0.133563,38960
39,0.141675,40960
40,0.156989,43010
41,0.172194,45110
42,0.188993,47260
43,0.210131,49460
44,0.225372,51710
45,0.247823,54010
46,0.267684,56360
47,0.302834,58760
48,0.317779,61210
49,0.341246,63710
50,0.368646,66260
51,0.413244,68860
52,0.445132,71510
53,0.491447,74210
54,0.551738,76960
55,0.553184,79760
56,0.59076,82610
57,0.635435,85510
58,0.706989,88460
59,0.726031,91460
60,0.775585,94510
61,0.816688,97610
62,0.89084,100760
63,0.926841,103960
64,0.99662,107210
65,1.07143,110510
66,1.15612,113860
67,1.20839,117260
68,1.25851,120710
69,1.32932,124210
70,1.42553,127760
71,1.51194,131360
72,1.62197,135010
73,1.68657,138710
74,1.81459,142460
75,1.87729,146260
76,1.97438,150110
77,2.11625,154010
78,2.25732,157960
79,2.34389,161960
80,2.45649,166010
81,2.65671,170110
82,2.72362,174260
83,2.87454,178460
84,3.03275,182710
85,3.15586,187010
86,3.28132,191360
87,3.41323,195760
88,3.63545,200210
89,3.87671,204710
90,3.96367,209260
91,4.19924,213860
92,4.35275,218510
93,4.53847,223210
94,4.761,227960
95,4.88252,232760
96,5.12798,237610
97,5.37852,242510
98,5.61764,247460
99,5.92407,252460
100,6.04218,257510
